,null_count,null_percent
CS%,2551,93.85577630610743
Save%,2549,93.78219278881531
W,2548,93.74540103016923
Saves,2548,93.74540103016923
Rk_stats_keeper,2548,93.74540103016923
GA90,2548,93.74540103016923
D,2548,93.74540103016923
Starts_stats_keeper,2548,93.74540103016923
MP_stats_keeper,2548,93.74540103016923
Born_stats_keeper,2548,93.74540103016923
Pos_stats_keeper,2548,93.74540103016923
Comp_stats_keeper,2548,93.74540103016923
90s_stats_keeper,2548,93.74540103016923
SoTA,2548,93.74540103016923
Age_stats_keeper,2548,93.74540103016923
Min_stats_keeper,2548,93.74540103016923
Nation_stats_keeper,2548,93.74540103016923
PKA,2548,93.74540103016923
PKatt_stats_keeper,2548,93.74540103016923
CS,2548,93.74540103016923
L,2548,93.74540103016923
GA,2548,93.74540103016923
PKsv,2548,93.74540103016923
PKm,2548,93.74540103016923
G/SoT,852,31.346578366445915
SoT%,464,17.071376011773364
G/Sh,464,17.071376011773364
Mn/Sub,431,15.857247976453273
Mn/Start,351,12.91390728476821
On-Off,41,1.5084621044885944
Age_stats_playing_time,3,0.11037527593818984
Born_stats_shooting,3,0.11037527593818984
Nation_stats_playing_time,3,0.11037527593818984
Age,3,0.11037527593818984
Born,3,0.11037527593818984
Nation,3,0.11037527593818984
Age_stats_shooting,3,0.11037527593818984
Nation_stats_misc,3,0.11037527593818984
Born_stats_playing_time,3,0.11037527593818984
Nation_stats_shooting,3,0.11037527593818984
Born_stats_misc,3,0.11037527593818984
Age_stats_misc,3,0.11037527593818984
Ast,0,0.0
G+A,0,0.0
Gls,0,0.0
Starts,0,0.0
PKatt,0,0.0
CrdY,0,0.0
CrdR,0,0.0
G-PK,0,0.0
G+A-PK,0,0.0
Pos,0,0.0
Squad,0,0.0
Comp,0,0.0
Player,0,0.0
Rk,0,0.0
PK,0,0.0
MP,0,0.0
Min,0,0.0
90s,0,0.0
Sh,0,0.0
Gls_stats_shooting,0,0.0
PKatt_stats_shooting,0,0.0
PK_stats_shooting,0,0.0
90s_stats_shooting,0,0.0
Comp_stats_shooting,0,0.0
Pos_stats_shooting,0,0.0
Rk_stats_shooting,0,0.0
SoT/90,0,0.0
SoT,0,0.0
Min_stats_playing_time,0,0.0
MP_stats_playing_time,0,0.0
Pos_stats_playing_time,0,0.0
Comp_stats_playing_time,0,0.0
Rk_stats_playing_time,0,0.0
Sh/90,0,0.0
Starts_stats_playing_time,0,0.0
Mn/MP,0,0.0
Subs,0,0.0
unSub,0,0.0
onG,0,0.0
PPM,0,0.0
onGA,0,0.0
90s_stats_playing_time,0,0.0
Compl,0,0.0
Min%,0,0.0
Rk_stats_misc,0,0.0
+/-90,0,0.0
+/-,0,0.0
Pos_stats_misc,0,0.0
Comp_stats_misc,0,0.0
90s_stats_misc,0,0.0
CrdY_stats_misc,0,0.0
CrdR_stats_misc,0,0.0
2CrdY,0,0.0
Fls,0,0.0
Fld,0,0.0
Off,0,0.0
Crs,0,0.0
Int,0,0.0
TklW,0,0.0
OG,0,0.0
